County,Ballots cast
Appling,4532
Atkinson,1713
Bacon,2271
Baker,1017
Baldwin,10774
Banks,4385
Barrow,16368
Bartow,23147
Ben Hill,3565
Berrien,4007
Bibb,43371
Bleckley,3315
Brantley,3077
Brooks,4811
Bryan,8106
Bulloch,14125
Burke,6094
Butts,6233
Calhoun,1505
Camden,9993
Candler,2266
Carroll,26525
Catoosa,14232
Charlton,2103
Chatham,70512
Chattahoochee,715
Chattooga,4958
Cherokee,67531
Clarke,25934
Clay,965
Clayton,63738
Clinch,1209
Cobb,214490
Coffee,8495
Colquitt,8152
Columbia,40622
Cook,3639
Coweta,37762
Crawford,3338
Crisp,5179
Dade,3519
Dawson,7366
Decatur,6223
DeKalb,213632
Dodge,5324
Dooly,2767
Dougherty,24039
Douglas,38115
Early,3273
Echols,642
Effingham,12855
Elbert,4842
Emanuel,5146
Evans,2224
Fannin,7030
Fayette,42611
Floyd,21243
Forsyth,57176
Franklin,4799
Fulton,269841
Gilmer,7979
Glascock,822
Glynn,20530
Gordon,10476
Grady,5727
Greene,6627
Gwinnett,200721
Habersham,9797
Hall,44360
Hancock,2471
Haralson,6939
Harris,10471
Hart,7037
Heard,2530
Henry,64192
Houston,38068
Irwin,2404
Jackson,16218
Jasper,3911
Jeff Davis,3083
Jefferson,4705
Jenkins,1981
Johnson,2367
Jones,8238
Lamar,5079
Lanier,1483
Laurens,13247
Lee,9010
Liberty,9162
Lincoln,2744
Long,2191
Lowndes,21803
Lumpkin,7773
Macon,3093
Madison,7679
Marion,2207
McDuffie,6166
McIntosh,3961
Meriwether,6236
Miller,1471
Mitchell,5090
Monroe,8728
Montgomery,2355
Morgan,6423
Murray,6191
Muscogee,41954
Newton,28703
Oconee,13684
Oglethorpe,4165
Paulding,36835
Peach,7420
Pickens,8998
Pierce,4032
Pike,5715
Polk,8216
Pulaski,2402
Putnam,6399
Quitman,635
Rabun,5561
Randolph,2214
Richmond,49114
Rockdale,27003
Schley,1294
Screven,3891
Seminole,2306
Spalding,17072
Stephens,5274
Stewart,1274
Sumter,8155
Talbot,2230
Taliaferro,591
Tattnall,4343
Taylor,2247
Telfair,2803
Terrell,3371
Thomas,11244
Tift,8687
Toombs,5692
Towns,4347
Treutlen,1576
Troup,16028
Turner,2343
Twiggs,2993
Union,7879
Upson,7224
Walker,12633
Walton,26283
Ware,6837
Warren,1535
Washington,6243
Wayne,6326
Webster,796
Wheeler,1619
White,7759
Whitfield,16118
Wilcox,1935
Wilkes,3195
Wilkinson,3267
Worth,5300
